field_id,crop_type,month,day,red,nir,blue,green
FIELD_001,Corn,May,12,0.1050,0.3200,0.0450,0.0850
FIELD_002,Wheat,May,15,0.1080,0.3100,0.0420,0.0820
FIELD_003,Soybean,May,08,0.1020,0.3350,0.0480,0.0920
FIELD_004,Cotton,May,20,0.1150,0.2950,0.0390,0.0750
FIELD_005,Corn,May,18,0.0980,0.3450,0.0520,0.0980
FIELD_006,Wheat,May,22,0.1120,0.3050,0.0410,0.0780
FIELD_007,Soybean,May,11,0.0950,0.3520,0.0510,0.1050
FIELD_008,Cotton,May,25,0.1180,0.2850,0.0380,0.0680
FIELD_009,Corn,May,16,0.1020,0.3280,0.0460,0.0890
FIELD_010,Wheat,May,09,0.1090,0.3120,0.0430,0.0840
FIELD_011,Soybean,May,19,0.1350,0.2680,0.0350,0.0520
FIELD_012,Cotton,May,14,0.1200,0.2800,0.0370,0.0650
FIELD_013,Corn,May,27,0.1040,0.3380,0.0490,0.0950
FIELD_014,Wheat,May,21,0.1130,0.3080,0.0420,0.0810
FIELD_015,Soybean,May,13,0.0920,0.3620,0.0540,0.1120
FIELD_016,Cotton,May,23,0.1160,0.2900,0.0390,0.0700
FIELD_017,Corn,May,10,0.1030,0.3310,0.0470,0.0920
FIELD_018,Wheat,May,24,0.1100,0.3140,0.0440,0.0860
FIELD_019,Soybean,May,06,0.0980,0.3480,0.0500,0.1030
FIELD_020,Cotton,May,17,0.1140,0.2920,0.0400,0.0730
FIELD_021,Corn,June,14,0.0680,0.4550,0.0340,0.1080
FIELD_022,Wheat,June,18,0.0520,0.5120,0.0280,0.1180
FIELD_023,Soybean,June,11,0.0750,0.4280,0.0360,0.1050
FIELD_024,Cotton,June,22,0.0950,0.3850,0.0390,0.0920
FIELD_025,Corn,June,19,0.0650,0.4680,0.0350,0.1120
FIELD_026,Wheat,June,25,0.0510,0.5240,0.0270,0.1210
FIELD_027,Soybean,June,09,0.0780,0.4150,0.0350,0.1020
FIELD_028,Cotton,June,16,0.0920,0.3980,0.0410,0.0980
FIELD_029,Corn,June,23,0.0710,0.4420,0.0330,0.1050
FIELD_030,Wheat,June,12,0.0490,0.5350,0.0290,0.1240
FIELD_031,Soybean,June,27,0.1280,0.3220,0.0420,0.0780
FIELD_032,Cotton,June,20,0.0980,0.3750,0.0380,0.0880
FIELD_033,Corn,June,07,0.0690,0.4520,0.0340,0.1070
FIELD_034,Wheat,June,24,0.0530,0.5080,0.0280,0.1160
FIELD_035,Soybean,June,15,0.0730,0.4350,0.0370,0.1080
FIELD_036,Cotton,June,28,0.0940,0.3920,0.0400,0.0950
FIELD_037,Corn,June,10,0.0680,0.4580,0.0350,0.1100
FIELD_038,Wheat,June,17,0.0520,0.5150,0.0290,0.1190
FIELD_039,Soybean,June,21,0.0760,0.4310,0.0360,0.1040
FIELD_040,Cotton,June,13,0.0900,0.4050,0.0420,0.1010
FIELD_041,Corn,July,16,0.0420,0.5650,0.0280,0.1150
FIELD_042,Wheat,July,20,0.0580,0.4980,0.0310,0.1080
FIELD_043,Soybean,July,12,0.0510,0.5180,0.0290,0.1120
FIELD_044,Cotton,July,25,0.0750,0.4450,0.0350,0.1020
FIELD_045,Corn,July,18,0.0380,0.5820,0.0260,0.1200
FIELD_046,Wheat,July,22,0.0600,0.4920,0.0300,0.1050
FIELD_047,Soybean,July,09,0.0490,0.5250,0.0300,0.1140
FIELD_048,Cotton,July,27,0.0780,0.4280,0.0340,0.0980
FIELD_049,Corn,July,14,0.0410,0.5710,0.0270,0.1180
FIELD_050,Wheat,July,24,0.0620,0.4851,0.0310,0.1065
FIELD_051,Soybean,July,11,0.1340,0.3180,0.0410,0.0750
FIELD_052,Cotton,July,28,0.0730,0.4520,0.0360,0.1040
FIELD_053,Corn,July,08,0.0430,0.5650,0.0280,0.1170
FIELD_054,Wheat,July,19,0.0580,0.5050,0.0320,0.1100
FIELD_055,Soybean,July,23,0.0520,0.5150,0.0290,0.1110
FIELD_056,Cotton,July,15,0.0760,0.4480,0.0350,0.1030
FIELD_057,Corn,July,26,0.0400,0.5780,0.0270,0.1210
FIELD_058,Wheat,July,10,0.0600,0.4965,0.0310,0.1075
FIELD_059,Soybean,July,21,0.0500,0.5310,0.0300,0.1150
FIELD_060,Cotton,July,17,0.0710,0.4602,0.0360,0.1055
FIELD_061,Corn,August,13,0.0520,0.5320,0.0310,0.1090
FIELD_062,Wheat,August,19,0.0780,0.4520,0.0340,0.0950
FIELD_063,Soybean,August,11,0.0620,0.4950,0.0320,0.1060
FIELD_064,Cotton,August,24,0.0480,0.5280,0.0290,0.1140
FIELD_065,Corn,August,20,0.0560,0.5210,0.0320,0.1080
FIELD_066,Wheat,August,26,0.0820,0.4380,0.0330,0.0920
FIELD_067,Soybean,August,09,0.0650,0.4820,0.0310,0.1040
FIELD_068,Cotton,August,15,0.0450,0.5450,0.0300,0.1180
FIELD_069,Corn,August,22,0.0540,0.5380,0.0320,0.1110
FIELD_070,Wheat,August,18,0.0800,0.4480,0.0340,0.0960
FIELD_071,Soybean,August,27,0.1290,0.3420,0.0380,0.0680
FIELD_072,Cotton,August,14,0.0420,0.5620,0.0280,0.1220
FIELD_073,Corn,August,25,0.0580,0.5180,0.0310,0.1075
FIELD_074,Wheat,August,12,0.0790,0.4510,0.0340,0.0970
FIELD_075,Soybean,August,23,0.0630,0.4880,0.0310,0.1050
FIELD_076,Cotton,August,10,0.0460,0.5520,0.0290,0.1210
FIELD_077,Corn,August,16,0.0510,0.5420,0.0320,0.1100
FIELD_078,Wheat,August,21,0.0810,0.4398,0.0340,0.0940
FIELD_079,Soybean,August,08,0.0640,0.4911,0.0310,0.1055
FIELD_080,Cotton,August,28,0.0440,0.5601,0.0280,0.1201
FIELD_081,Corn,September,17,0.0820,0.4280,0.0370,0.0920
FIELD_082,Wheat,September,21,0.1050,0.3850,0.0400,0.0810
FIELD_083,Soybean,September,13,0.0950,0.4150,0.0380,0.0890
FIELD_084,Cotton,September,26,0.0680,0.4650,0.0350,0.1020
FIELD_085,Corn,September,19,0.0890,0.4120,0.0380,0.0880
FIELD_086,Wheat,September,25,0.1120,0.3720,0.0390,0.0780
FIELD_087,Soybean,September,10,0.0920,0.4280,0.0380,0.0920
FIELD_088,Cotton,September,22,0.0640,0.4821,0.0360,0.1051
FIELD_089,Corn,September,24,0.0860,0.4190,0.0380,0.0900
FIELD_090,Wheat,September,15,0.1080,0.3891,0.0400,0.0820
FIELD_091,Soybean,September,28,0.1320,0.3150,0.0410,0.0650
FIELD_092,Cotton,September,09,0.0620,0.4921,0.0370,0.1080
FIELD_093,Corn,September,27,0.0850,0.4251,0.0380,0.0910
FIELD_094,Wheat,September,12,0.1100,0.3811,0.0390,0.0800
FIELD_095,Soybean,September,20,0.0940,0.4201,0.0380,0.0910
FIELD_096,Cotton,September,14,0.0650,0.4751,0.0350,0.1031
FIELD_097,Corn,September,11,0.0810,0.4350,0.0370,0.0940
FIELD_098,Wheat,September,23,0.1090,0.3751,0.0400,0.0790
FIELD_099,Soybean,September,07,0.0930,0.4350,0.0380,0.0930
FIELD_100,Cotton,September,18,0.0660,0.4680,0.0360,0.1020
