datetime,month,hour,irradiance_w_m2,ambient_temp_c,panel_temp_c,power_output_kw,electricity_price_kwh
2024-01-01 00:00:00,1,0,0,-2.45,-2.45,0,0.096
2024-01-01 01:00:00,1,1,0,-4.98,-4.98,0,0.101
2024-01-01 02:00:00,1,2,0,0.38,0.38,0,0.096
2024-01-01 03:00:00,1,3,0,2.42,2.42,0,0.095
2024-01-01 04:00:00,1,4,0,-1.36,-1.36,0,0.083
2024-01-01 05:00:00,1,5,0,1.64,1.64,0,0.089
2024-01-01 06:00:00,1,6,413.92,3.14,23.14,3.753,0.125
2024-01-01 07:00:00,1,7,444.14,3.0,23.0,4.029,0.115
2024-01-01 08:00:00,1,8,491.83,4.02,24.02,4.444,0.107
2024-01-01 09:00:00,1,9,559.04,4.2,24.2,5.047,0.123
2024-01-01 10:00:00,1,10,577.83,9.03,29.03,5.117,0.112
2024-01-01 11:00:00,1,11,573.2,5.48,25.48,5.149,0.112
2024-01-01 12:00:00,1,12,603.2,4.3,24.3,5.444,0.188
2024-01-01 13:00:00,1,13,590.87,4.65,24.65,5.325,0.166
2024-01-01 14:00:00,1,14,589.25,4.73,24.73,5.309,0.195
2024-01-01 15:00:00,1,15,524.81,1.7,21.7,4.786,0.181
2024-01-01 16:00:00,1,16,493.41,6.33,26.33,4.417,0.196
2024-01-01 17:00:00,1,17,458.68,7.51,27.51,4.087,0.166
2024-01-01 18:00:00,1,18,380.98,1.99,21.99,3.47,0.167
2024-01-01 19:00:00,1,19,0,-0.25,-0.25,0,0.099
2024-01-01 20:00:00,1,20,0,-4.27,-4.27,0,0.09
2024-01-01 21:00:00,1,21,0,1.3,1.3,0,0.086
2024-01-01 22:00:00,1,22,0,1.96,1.96,0,0.092
2024-01-01 23:00:00,1,23,0,-2.56,-2.56,0,0.095
2024-01-02 00:00:00,1,0,0,-4.94,-4.94,0,0.097
2024-01-02 01:00:00,1,1,0,2.7,2.7,0,0.084
2024-01-02 02:00:00,1,2,0,-0.75,-0.75,0,0.086
2024-01-02 03:00:00,1,3,0,4.58,4.58,0,0.092
2024-01-02 04:00:00,1,4,0,-4.5,-4.5,0,0.087
2024-01-02 05:00:00,1,5,0,3.48,3.48,0,0.091
2024-01-02 06:00:00,1,6,406.7,8.01,28.01,3.616,0.133
2024-01-02 07:00:00,1,7,469.77,5.95,25.95,4.212,0.13
2024-01-02 08:00:00,1,8,508.77,6.13,26.13,4.558,0.118
2024-01-02 09:00:00,1,9,543.34,8.31,28.31,4.825,0.13
2024-01-02 10:00:00,1,10,572.19,7.44,27.44,5.1,0.111
2024-01-02 11:00:00,1,11,598.69,2.47,22.47,5.443,0.126
2024-01-02 12:00:00,1,12,605.07,5.21,25.21,5.441,0.169
2024-01-02 13:00:00,1,13,584.61,0.77,20.77,5.35,0.169
2024-01-02 14:00:00,1,14,574.81,3.2,23.2,5.211,0.162
2024-01-02 15:00:00,1,15,549.18,2.31,22.31,4.996,0.19
2024-01-02 16:00:00,1,16,496.3,0.64,20.64,4.545,0.182
2024-01-02 17:00:00,1,17,440.04,4.16,24.16,3.974,0.176
2024-01-02 18:00:00,1,18,403.36,9.05,29.05,3.571,0.19
2024-01-02 19:00:00,1,19,0,3.57,3.57,0,0.097
2024-01-02 20:00:00,1,20,0,-1.2,-1.2,0,0.082
2024-01-02 21:00:00,1,21,0,-1.48,-1.48,0,0.097
2024-01-02 22:00:00,1,22,0,3.53,3.53,0,0.101
2024-01-02 23:00:00,1,23,0,-0.81,-0.81,0,0.097
2024-01-03 00:00:00,1,0,0,0.46,0.46,0,0.094
2024-01-03 01:00:00,1,1,0,-2.79,-2.79,0,0.086
2024-01-03 02:00:00,1,2,0,-0.64,-0.64,0,0.083
2024-01-03 03:00:00,1,3,0,-1.64,-1.64,0,0.096
2024-01-03 04:00:00,1,4,0,-0.96,-0.96,0,0.085
2024-01-03 05:00:00,1,5,0,-0.33,-0.33,0,0.085
2024-01-03 06:00:00,1,6,381.08,6.22,26.22,3.413,0.115
2024-01-03 07:00:00,1,7,432.85,5.64,25.64,3.886,0.122
2024-01-03 08:00:00,1,8,498.47,1.36,21.36,4.552,0.105
2024-01-03 09:00:00,1,9,529.89,3.79,23.79,4.792,0.113
2024-01-03 10:00:00,1,10,568.37,7.61,27.61,5.062,0.126
2024-01-03 11:00:00,1,11,583.28,8.32,28.32,5.18,0.105
2024-01-03 12:00:00,1,12,601.58,0.19,20.19,5.518,0.205
2024-01-03 13:00:00,1,13,599.19,3.5,23.5,5.425,0.194
2024-01-03 14:00:00,1,14,583.37,6.52,26.52,5.218,0.202
2024-01-03 15:00:00,1,15,522.24,1.99,21.99,4.757,0.163
2024-01-03 16:00:00,1,16,506.78,1.26,21.26,4.629,0.183
2024-01-03 17:00:00,1,17,459.74,2.18,22.18,4.184,0.193
2024-01-03 18:00:00,1,18,404.29,1.68,21.68,3.687,0.192
2024-01-03 19:00:00,1,19,0,-3.85,-3.85,0,0.098
2024-01-03 20:00:00,1,20,0,4.65,4.65,0,0.084
2024-01-03 21:00:00,1,21,0,-4.74,-4.74,0,0.088
2024-01-03 22:00:00,1,22,0,1.77,1.77,0,0.101
