station_id,station_name,latitude,longitude,date,depth_m,temperature_c,salinity_psu,dissolved_oxygen_ml_l
STATION_A,North Pacific,45.0,-150.0,2015-01-01,0,14.0,33.5,8.0
STATION_A,North Pacific,45.0,-150.0,2015-01-01,50,10.75,33.65,7.03
STATION_A,North Pacific,45.0,-150.0,2015-01-01,100,10.0,33.79,4.4
STATION_A,North Pacific,45.0,-150.0,2015-01-01,200,7.0,33.98,4.2
STATION_A,North Pacific,45.0,-150.0,2015-01-01,500,3.5,33.5,3.55
STATION_B,Equatorial,0.0,-30.0,2015-01-01,0,28.5,35.0,8.0
STATION_B,Equatorial,0.0,-30.0,2015-01-01,50,25.25,35.31,7.03
STATION_B,Equatorial,0.0,-30.0,2015-01-01,100,10.0,35.59,5.85
STATION_B,Equatorial,0.0,-30.0,2015-01-01,200,7.0,35.95,5.65
STATION_B,Equatorial,0.0,-30.0,2015-01-01,500,5.0,35.0,4.85
STATION_C,South Atlantic,-35.0,-20.0,2015-01-01,0,18.0,35.5,8.0
STATION_C,South Atlantic,-35.0,-20.0,2015-01-01,50,14.75,35.65,7.03
STATION_C,South Atlantic,-35.0,-20.0,2015-01-01,100,10.0,35.79,4.8
STATION_C,South Atlantic,-35.0,-20.0,2015-01-01,200,7.0,35.98,4.6
STATION_C,South Atlantic,-35.0,-20.0,2015-01-01,500,3.0,35.5,4.0
STATION_A,North Pacific,45.0,-150.0,2015-02-01,0,16.0,33.5,7.6
STATION_A,North Pacific,45.0,-150.0,2015-02-01,50,12.75,33.65,6.66
STATION_A,North Pacific,45.0,-150.0,2015-02-01,100,11.5,33.79,4.65
STATION_A,North Pacific,45.0,-150.0,2015-02-01,200,7.5,33.98,4.4
STATION_A,North Pacific,45.0,-150.0,2015-02-01,500,3.5,33.5,3.7
STATION_B,Equatorial,0.0,-30.0,2015-02-01,0,28.65,35.0,7.78
STATION_B,Equatorial,0.0,-30.0,2015-02-01,50,25.4,35.31,6.85
STATION_B,Equatorial,0.0,-30.0,2015-02-01,100,11.5,35.59,6.1
STATION_B,Equatorial,0.0,-30.0,2015-02-01,200,7.5,35.95,5.85
STATION_B,Equatorial,0.0,-30.0,2015-02-01,500,5.0,35.0,5.0
STATION_C,South Atlantic,-35.0,-20.0,2015-02-01,0,16.0,35.5,8.0
STATION_C,South Atlantic,-35.0,-20.0,2015-02-01,50,12.75,35.65,7.06
STATION_C,South Atlantic,-35.0,-20.0,2015-02-01,100,11.5,35.79,5.05
STATION_C,South Atlantic,-35.0,-20.0,2015-02-01,200,7.5,35.98,4.8
STATION_C,South Atlantic,-35.0,-20.0,2015-02-01,500,3.0,35.5,4.15
STATION_A,North Pacific,45.0,-150.0,2015-03-01,0,17.46,33.5,6.9
STATION_A,North Pacific,45.0,-150.0,2015-03-01,50,14.21,33.65,6.08
STATION_A,North Pacific,45.0,-150.0,2015-03-01,100,12.6,33.79,4.83
STATION_A,North Pacific,45.0,-150.0,2015-03-01,200,7.87,33.98,4.55
STATION_A,North Pacific,45.0,-150.0,2015-03-01,500,3.5,33.5,3.81
STATION_B,Equatorial,0.0,-30.0,2015-03-01,0,28.76,35.0,7.22
STATION_B,Equatorial,0.0,-30.0,2015-03-01,50,25.51,35.31,6.4
STATION_B,Equatorial,0.0,-30.0,2015-03-01,100,12.6,35.59,6.28
STATION_B,Equatorial,0.0,-30.0,2015-03-01,200,7.87,35.95,6.0
STATION_B,Equatorial,0.0,-30.0,2015-03-01,500,5.0,35.0,5.11
STATION_C,South Atlantic,-35.0,-20.0,2015-03-01,0,14.54,35.5,7.6
STATION_C,South Atlantic,-35.0,-20.0,2015-03-01,50,11.29,35.65,6.77
