participant_id,age,gender,education,E1,E2,E3,E4,E5,A1,A2,A3,A4,A5,C1,C2,C3,C4,C5,N1,N2,N3,N4,N5,O1,O2,O3,O4,O5
P001,24,Female,Bachelors,4,5,4,3,4,5,4,5,4,5,5,5,4,5,4,2,3,2,3,2,4,5,4,4,5
P002,31,Male,Masters,3,2,3,2,3,4,3,4,3,4,4,4,5,4,3,3,4,3,4,3,5,4,5,5,4
P003,45,Female,PhD,5,4,5,4,5,5,5,4,5,5,5,5,5,5,5,1,2,1,2,1,5,5,5,4,5
P004,28,Male,Bachelors,2,3,2,3,2,3,2,3,2,3,3,2,3,2,3,4,5,4,5,4,2,3,2,3,2
P005,36,Female,Masters,4,4,3,4,4,5,4,5,4,4,4,5,4,5,4,2,2,3,2,3,4,4,5,4,4
P006,22,Male,Bachelors,5,5,5,4,5,3,3,2,3,3,2,3,2,3,2,3,3,4,3,4,5,5,4,5,5
P007,50,Female,High School,3,3,4,3,3,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,3,4,3
P008,27,Male,Bachelors,4,5,4,5,4,4,4,3,4,4,5,5,5,5,5,2,2,2,1,2,4,5,4,5,4
P009,33,Female,Masters,2,2,3,2,2,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,3,3,4,3,3
P010,29,Male,PhD,5,4,5,4,5,4,3,4,3,4,4,4,4,4,4,3,4,3,4,3,5,5,5,5,5
P011,41,Female,Bachelors,3,4,3,4,3,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4
P012,26,Male,Masters,5,5,4,5,5,3,2,3,2,3,3,2,3,2,3,4,5,4,5,4,4,5,4,5,4
P013,38,Female,Bachelors,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,4,4,4,4,4
P014,23,Male,Bachelors,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
P015,47,Female,PhD,5,5,5,5,5,4,4,4,4,4,5,5,5,5,5,1,1,1,1,1,5,5,5,5,5
P016,30,Male,Masters,2,3,2,3,2,4,3,4,3,4,4,3,4,3,4,4,4,4,4,4,3,3,3,3,3
P017,35,Female,Bachelors,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4
P018,25,Male,Bachelors,5,4,5,4,5,3,3,2,3,3,2,3,2,3,2,5,5,5,5,5,5,5,5,5,5
P019,42,Female,Masters,3,3,3,4,3,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,3,4,3,4,3
P020,28,Male,PhD,4,5,4,5,4,4,4,4,4,4,5,5,5,5,5,3,3,3,3,3,5,5,5,5,5
P021,32,Female,Bachelors,3,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
P022,27,Male,Masters,5,5,5,5,5,3,2,3,2,3,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5
P023,39,Female,Bachelors,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,4,4,4,4,4
P024,24,Male,Bachelors,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,2,2,2,2,2
P025,46,Female,PhD,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,5,5,5,5,5
P026,29,Male,Masters,3,4,3,4,3,4,3,4,3,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4
P027,34,Female,Bachelors,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,4,4,4,4,4
P028,26,Male,Bachelors,5,5,4,5,5,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5
P029,40,Female,Masters,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3
P030,31,Male,PhD,4,5,4,5,4,4,4,4,4,4,5,5,5,5,5,2,2,2,2,2,5,5,5,5,5
